gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species,entrez_gene,gs_cat,gs_subcat
GAPDHS,26330,ENSG00000105679,GAPDHS,26330,ENSG00000105679,GAPDHS,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,26330,H,
GCLC,2729,ENSG00000001084,GCLC,2729,ENSG00000001084,GCLC,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2729,H,
GFPT1,2673,ENSG00000198380,GFPT1,2673,ENSG00000198380,GFPT1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2673,H,
GFUS,7264,ENSG00000104522,GFUS,7264,ENSG00000104522,TSTA3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,7264,H,
GLCE,26035,ENSG00000138604,GLCE,26035,ENSG00000138604,GLCE,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,26035,H,
GLRX,2745,ENSG00000173221,GLRX,2745,ENSG00000173221,GLRX,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2745,H,
GMPPA,29926,ENSG00000144591,GMPPA,29926,ENSG00000144591,GMPPA,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,29926,H,
GMPPB,29925,ENSG00000173540,GMPPB,29925,ENSG00000173540,GMPPB,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,29925,H,
GNE,10020,ENSG00000159921,GNE,10020,ENSG00000159921,GNE,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,10020,H,
GNPDA1,10007,ENSG00000113552,GNPDA1,10007,ENSG00000113552,GNPDA1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,10007,H,
GOT1,2805,ENSG00000120053,GOT1,2805,ENSG00000120053,GOT1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2805,H,
GOT2,2806,ENSG00000125166,GOT2,2806,ENSG00000125166,GOT2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2806,H,
GPC1,2817,ENSG00000063660,GPC1,2817,ENSG00000063660,GPC1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2817,H,
GPC3,2719,ENSG00000147257,GPC3,2719,ENSG00000147257,GPC3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2719,H,
GPC4,2239,ENSG00000076716,GPC4,2239,ENSG00000076716,GPC4,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2239,H,
GPR87,53836,ENSG00000138271,GPR87,53836,ENSG00000138271,GPR87,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,53836,H,
GUSB,2990,ENSG00000169919,GUSB,2990,ENSG00000169919,GUSB,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2990,H,
GYS1,2997,ENSG00000104812,GYS1,2997,ENSG00000104812,GYS1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2997,H,
GYS2,2998,ENSG00000111713,GYS2,2998,ENSG00000111713,GYS2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2998,H,
HAX1,10456,ENSG00000143575,HAX1,10456,ENSG00000143575,HAX1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,10456,H,
HDLBP,3069,ENSG00000115677,HDLBP,3069,ENSG00000115677,HDLBP,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3069,H,
HK2,3099,ENSG00000159399,HK2,3099,ENSG00000159399,HK2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3099,H,
HMMR,3161,ENSG00000072571,HMMR,3161,ENSG00000072571,HMMR,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3161,H,
HOMER1,9456,ENSG00000152413,HOMER1,9456,ENSG00000152413,HOMER1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,9456,H,
HS2ST1,9653,ENSG00000153936,HS2ST1,9653,ENSG00000153936,HS2ST1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,9653,H,
HS6ST2,90161,ENSG00000171004,HS6ST2,90161,ENSG00000171004,HS6ST2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,90161,H,
HSPA5,3309,ENSG00000044574,HSPA5,3309,ENSG00000044574,HSPA5,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3309,H,
IDH1,3417,ENSG00000138413,IDH1,3417,ENSG00000138413,IDH1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3417,H,
IDUA,3425,ENSG00000127415,IDUA,3425,ENSG00000127415,IDUA,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3425,H,
IER3,8870,ENSG00000137331,IER3,8870,ENSG00000137331,IER3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,8870,H,
IGFBP3,3486,ENSG00000146674,IGFBP3,3486,ENSG00000146674,IGFBP3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3486,H,
IL13RA1,3597,ENSG00000131724,IL13RA1,3597,ENSG00000131724,IL13RA1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3597,H,
IRS2,8660,ENSG00000185950,IRS2,8660,ENSG00000185950,IRS2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,8660,H,
ISG20,3669,ENSG00000172183,ISG20,3669,ENSG00000172183,ISG20,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3669,H,
KDELR3,11015,ENSG00000100196,KDELR3,11015,ENSG00000100196,KDELR3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,11015,H,
KIF20A,10112,ENSG00000112984,KIF20A,10112,ENSG00000112984,KIF20A,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,10112,H,
KIF2A,3796,ENSG00000068796,KIF2A,3796,ENSG00000068796,KIF2A,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3796,H,
LCT,3938,ENSG00000115850,LCT,3938,ENSG00000115850,LCT,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3938,H,
LDHA,3939,ENSG00000134333,LDHA,3939,ENSG00000134333,LDHA,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3939,H,
LDHC,3948,ENSG00000166796,LDHC,3948,ENSG00000166796,LDHC,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,3948,H,
LHPP,64077,ENSG00000107902,LHPP,64077,ENSG00000107902,LHPP,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,64077,H,
LHX9,56956,ENSG00000143355,LHX9,56956,ENSG00000143355,LHX9,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,56956,H,
MDH1,4190,ENSG00000014641,MDH1,4190,ENSG00000014641,MDH1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4190,H,
MDH2,4191,ENSG00000146701,MDH2,4191,ENSG00000146701,MDH2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4191,H,
ME1,4199,ENSG00000065833,ME1,4199,ENSG00000065833,ME1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4199,H,
ME2,4200,ENSG00000082212,ME2,4200,ENSG00000082212,ME2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4200,H,
MED24,9862,ENSG00000008838,MED24,9862,ENSG00000008838,MED24,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,9862,H,
MERTK,10461,ENSG00000153208,MERTK,10461,ENSG00000153208,MERTK,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,10461,H,
MET,4233,ENSG00000105976,MET,4233,ENSG00000105976,MET,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4233,H,
MIF,4282,ENSG00000240972,MIF,4282,ENSG00000240972,MIF,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4282,H,
MIOX,55586,ENSG00000100253,MIOX,55586,ENSG00000100253,MIOX,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,55586,H,
MPI,4351,ENSG00000178802,MPI,4351,ENSG00000178802,MPI,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4351,H,
MXI1,4601,ENSG00000119950,MXI1,4601,ENSG00000119950,MXI1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4601,H,
NANP,140838,ENSG00000170191,NANP,140838,ENSG00000170191,NANP,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,140838,H,
NASP,4678,ENSG00000132780,NASP,4678,ENSG00000132780,NASP,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4678,H,
NDST3,9348,ENSG00000164100,NDST3,9348,ENSG00000164100,NDST3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,9348,H,
NDUFV3,4731,ENSG00000160194,NDUFV3,4731,ENSG00000160194,NDUFV3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4731,H,
NOL3,8996,ENSG00000140939,NOL3,8996,ENSG00000140939,NOL3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,8996,H,
NSDHL,50814,ENSG00000147383,NSDHL,50814,ENSG00000147383,NSDHL,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,50814,H,
NT5E,4907,ENSG00000135318,NT5E,4907,ENSG00000135318,NT5E,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,4907,H,
P4HA1,5033,ENSG00000122884,P4HA1,5033,ENSG00000122884,P4HA1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5033,H,
P4HA2,8974,ENSG00000072682,P4HA2,8974,ENSG00000072682,P4HA2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,8974,H,
PAM,5066,ENSG00000145730,PAM,5066,ENSG00000145730,PAM,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5066,H,
PAXIP1,22976,ENSG00000157212,PAXIP1,22976,ENSG00000157212,PAXIP1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,22976,H,
PC,5091,ENSG00000173599,PC,5091,ENSG00000173599,PC,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5091,H,
PDK3,5165,ENSG00000067992,PDK3,5165,ENSG00000067992,PDK3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5165,H,
PFKFB1,5207,ENSG00000158571,PFKFB1,5207,ENSG00000158571,PFKFB1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5207,H,
PFKP,5214,ENSG00000067057,PFKP,5214,ENSG00000067057,PFKP,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5214,H,
PGAM1,5223,ENSG00000171314,PGAM1,5223,ENSG00000171314,PGAM1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5223,H,
PGAM2,5224,ENSG00000164708,PGAM2,5224,ENSG00000164708,PGAM2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5224,H,
PGK1,5230,ENSG00000102144,PGK1,5230,ENSG00000102144,PGK1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5230,H,
PGLS,25796,ENSG00000130313,PGLS,25796,ENSG00000130313,PGLS,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,25796,H,
PGM2,55276,ENSG00000169299,PGM2,55276,ENSG00000169299,PGM2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,55276,H,
PHKA2,5256,ENSG00000044446,PHKA2,5256,ENSG00000044446,PHKA2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5256,H,
PKM,5315,ENSG00000067225,PKM,5315,ENSG00000067225,PKM2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5315,H,
PKP2,5318,ENSG00000057294,PKP2,5318,ENSG00000057294,PKP2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5318,H,
PLOD1,5351,ENSG00000083444,PLOD1,5351,ENSG00000083444,PLOD1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5351,H,
PLOD2,5352,ENSG00000152952,PLOD2,5352,ENSG00000152952,PLOD2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5352,H,
PMM2,5373,ENSG00000140650,PMM2,5373,ENSG00000140650,PMM2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5373,H,
POLR3K,51728,ENSG00000161980,POLR3K,51728,ENSG00000161980,POLR3K,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,51728,H,
PPFIA4,8497,ENSG00000143847,PPFIA4,8497,ENSG00000143847,PPFIA4,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,8497,H,
PPIA,5478,ENSG00000196262,PPIA,5478,ENSG00000196262,PPIA,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5478,H,
PPP2CB,5516,ENSG00000104695,PPP2CB,5516,ENSG00000104695,PPP2CB,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5516,H,
PRPS1,5631,ENSG00000147224,PRPS1,5631,ENSG00000147224,PRPS1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5631,H,
PSMC4,5704,ENSG00000013275,PSMC4,5704,ENSG00000013275,PSMC4,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5704,H,
PYGB,5834,ENSG00000100994,PYGB,5834,ENSG00000100994,PYGB,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5834,H,
PYGL,5836,ENSG00000100504,PYGL,5836,ENSG00000100504,PYGL,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5836,H,
QSOX1,5768,ENSG00000116260,QSOX1,5768,ENSG00000116260,QSOX1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5768,H,
RARS1,5917,ENSG00000113643,RARS1,5917,ENSG00000113643,RARS,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,5917,H,
RBCK1,10616,ENSG00000125826,RBCK1,10616,ENSG00000125826,RBCK1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,10616,H,
RPE,6120,ENSG00000197713,RPE,6120,ENSG00000197713,RPE,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,6120,H,
RRAGD,58528,ENSG00000025039,RRAGD,58528,ENSG00000025039,RRAGD,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,58528,H,
SAP30,8819,ENSG00000164105,SAP30,8819,ENSG00000164105,SAP30,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,8819,H,
SDC1,6382,ENSG00000115884,SDC1,6382,ENSG00000115884,SDC1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,6382,H,
SDC2,6383,ENSG00000169439,SDC2,6383,ENSG00000169439,SDC2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,6383,H,
SDC3,9672,ENSG00000162512,SDC3,9672,ENSG00000162512,SDC3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,9672,H,
SDHC,6391,ENSG00000143252,SDHC,6391,ENSG00000143252,SDHC,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,6391,H,
SLC16A3,9123,ENSG00000141526,SLC16A3,9123,ENSG00000141526,SLC16A3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,9123,H,
SLC25A10,1468,ENSG00000183048,SLC25A10,1468,ENSG00000183048,SLC25A10,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,1468,H,
SLC25A13,10165,ENSG00000004864,SLC25A13,10165,ENSG00000004864,SLC25A13,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,10165,H,
SLC35A3,23443,ENSG00000117620,SLC35A3,23443,ENSG00000117620,SLC35A3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,23443,H,
SLC37A4,2542,ENSG00000137700,SLC37A4,2542,ENSG00000137700,SLC37A4,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,2542,H,
SOD1,6647,ENSG00000142168,SOD1,6647,ENSG00000142168,SOD1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,6647,H,
SOX9,6662,ENSG00000125398,SOX9,6662,ENSG00000125398,SOX9,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,6662,H,
SPAG4,6676,ENSG00000061656,SPAG4,6676,ENSG00000061656,SPAG4,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,6676,H,
SRD5A3,79644,ENSG00000128039,SRD5A3,79644,ENSG00000128039,SRD5A3,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,79644,H,
STC1,6781,ENSG00000159167,STC1,6781,ENSG00000159167,STC1,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,6781,H,
STC2,8614,ENSG00000113739,STC2,8614,ENSG00000113739,STC2,M5937,HALLMARK_GLYCOLYSIS,H,,Hallmark,Genes encoding proteins involved in glycolysis and gluconeogenesis.,HS,26771021,,,,2025.1.Hs,HS,8614,H,
